Fold,Type,BuildTime,QueryTime,TotalTime,fraction_trueK_found,Accuracy,Parameters
2,LSH-Jaccard,3.8881253129948163,9.52101545700134,13.409140769996156,0.14353148200477817,0.8070940478331236,"K=7, tau=0.4, num_perm=64, empty_rate=3.14%, avg_cands=149.0"
2,LSH-Jaccard,3.195198884997808,7.493191574998491,10.688390459996299,0.12601150872145297,0.7892015824491998,"K=7, tau=0.5, num_perm=64, empty_rate=3.79%, avg_cands=59.0"
2,LSH-Jaccard,2.744844259999809,3.1581676909991074,5.903011950998916,0.04884784339918308,0.5499010969250134,"K=7, tau=0.6, num_perm=64, empty_rate=57.49%, avg_cands=3.9"
2,LSH-Jaccard,2.4436237269983394,1.6553007569964393,4.098924483994779,0.03501425745626428,0.48246718216148177,"K=7, tau=0.7, num_perm=64, empty_rate=86.01%, avg_cands=2.6"
3,Brute-Force-Jaccard,0.0,674.990647907005,674.990647907005,1.0,0.9400287718036324,K=7
3,LSH-Jaccard,1.1037161929998547,102.58924467399629,103.69296086699615,0.46676471343797366,0.9147185757957202,"K=7, tau=0.3, num_perm=16, empty_rate=0.04%, avg_cands=4662.6"
3,LSH-Jaccard,1.6552815420000115,94.29730547500367,95.95258701700368,0.40582372132453054,0.9084247437511239,"K=7, tau=0.4, num_perm=16, empty_rate=0.06%, avg_cands=4187.1"
3,LSH-Jaccard,1.1452034979956807,11.310841471000458,12.456044968996139,0.13931846790145658,0.8224240244560331,"K=7, tau=0.5, num_perm=16, empty_rate=1.55%, avg_cands=239.8"
3,LSH-Jaccard,1.0902512960019521,5.551619095000206,6.641870391002158,0.06538520821023967,0.6683600071929509,"K=7, tau=0.6, num_perm=16, empty_rate=16.67%, avg_cands=23.7"
3,LSH-Jaccard,0.9536569369956851,3.1586088280018885,4.112265764997574,0.03946489583065738,0.545944973925553,"K=7, tau=0.7, num_perm=16, empty_rate=53.79%, avg_cands=5.1"
3,LSH-Jaccard,1.9640722039985121,123.91113951800071,125.87521172199922,0.5646916022298147,0.9219115267038303,"K=7, tau=0.3, num_perm=32, empty_rate=0.01%, avg_cands=5622.8"
3,LSH-Jaccard,1.8713116989965783,15.035183682004572,16.90649538100115,0.22026485472808072,0.8672001438590181,"K=7, tau=0.4, num_perm=32, empty_rate=0.59%, avg_cands=401.7"
3,LSH-Jaccard,1.945819582004333,6.364359465005691,8.310179047010024,0.09300742415290157,0.7398399568422945,"K=7, tau=0.5, num_perm=32, empty_rate=8.00%, avg_cands=34.2"
3,LSH-Jaccard,1.7124008450045949,3.7500975510047283,5.462498396009323,0.05066534795900018,0.5893274590900918,"K=7, tau=0.6, num_perm=32, empty_rate=42.48%, avg_cands=5.8"
3,LSH-Jaccard,1.5749431369986269,2.2133524719974957,3.7882956089961226,0.03875844529503943,0.5178924653839238,"K=7, tau=0.7, num_perm=32, empty_rate=73.22%, avg_cands=2.8"
3,LSH-Jaccard,3.6261025670028175,27.502648954003234,31.128751521006052,0.352923420761939,0.8982647005934185,"K=7, tau=0.3, num_perm=64, empty_rate=0.18%, avg_cands=957.4"
3,LSH-Jaccard,3.8956091470026877,9.550548021004943,13.44615716800763,0.14397461915893853,0.808038122639813,"K=7, tau=0.4, num_perm=64, empty_rate=2.85%, avg_cands=147.1"
3,LSH-Jaccard,3.10407160899922,7.52177042200492,10.62584203100414,0.1261399542733835,0.7893364502787269,"K=7, tau=0.5, num_perm=64, empty_rate=3.63%, avg_cands=59.2"
3,LSH-Jaccard,2.746716172005108,3.154124116001185,5.900840288006293,0.04750558738150898,0.5473386081639993,"K=7, tau=0.6, num_perm=64, empty_rate=57.13%, avg_cands=4.0"
3,LSH-Jaccard,2.45184995100135,1.648126817002776,4.099976768004126,0.03377475788013461,0.48233231433195467,"K=7, tau=0.7, num_perm=64, empty_rate=86.17%, avg_cands=2.7"
4,Brute-Force-Jaccard,0.0,676.7157760920018,676.7157760920018,1.0,0.9358928250314692,K=7
4,LSH-Jaccard,1.1166657649955596,102.89496357000462,104.01162933500018,0.46554448069463356,0.9108973206257868,"K=7, tau=0.3, num_perm=16, empty_rate=0.04%, avg_cands=4669.1"
4,LSH-Jaccard,1.6479148439975688,94.29124266500003,95.9391575089976,0.40613199064916383,0.9040190613199065,"K=7, tau=0.4, num_perm=16, empty_rate=0.08%, avg_cands=4195.2"
4,LSH-Jaccard,1.1607386409959872,11.319861330004642,12.480599971000629,0.1425617180877026,0.8219295090811005,"K=7, tau=0.5, num_perm=16, empty_rate=1.74%, avg_cands=239.7"
4,LSH-Jaccard,1.099255537003046,5.58480227200198,6.684057809005026,0.06617514835461248,0.6688545225678835,"K=7, tau=0.6, num_perm=16, empty_rate=16.09%, avg_cands=23.8"
